Analyse Political Party Returns - 2014-15,
Australian Labor Party (ALP), data exported: 29/Jun/2016 01:06,
PayerClientNm,PayerAddressLine1,PayerSuburb,PayerStateAb,PayerPostcode,AmountReceived,ReceiptTyDs,
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","35200","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","7030","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","4653","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","3730","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","3565","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","3391","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","2771","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","2540","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","2434","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","2393","Other Receipt",
"Chifley Research Centre","PO Box 6222 ,","Kingston","ACT","2604","2347","Other Receipt",
"Clean Energy Council","Level 15, 222 Exhibition Street ,","MELBOURNE","VIC","3000","10000","Other Receipt",
"Clean Energy Council","Level 15, 222 Exhibition Street ,","MELBOURNE","VIC","3000","2500","Other Receipt",
"Clubs NSW","Level 8,  51 Druitt Street","SYDNEY","NSW","2000","66000","Subscription",
"CMAX Advisory","Unit 7, 18 National Circuit ,","BARTON","ACT","2600","1100","Other Receipt",
"CMAX Advisory","Unit 7, 18 National Circuit ,","BARTON","ACT","2600","1100","Other Receipt",
"Coca-Cola Amatil Limited","71 Circular Quay East ,","SYDNEY","NSW","2000","27500","Subscription",
"Commercial Radio Australia","Level 5, 88 Foveaux Street","SURRY HILLS","NSW","2010","13200","Subscription",
"Commonwealth Bank of Australia","L5, Darling Park 1, 201 Sussex Street","SYDNEY","NSW","2000","27500","Subscription",
"Commonwealth Bank of Australia","L5, Darling Park 1, 201 Sussex Street","SYDNEY","NSW","2000","7500","Other Receipt",
"Commonwealth Bank of Australia","L5, Darling Park 1, 201 Sussex Street","SYDNEY","NSW","2000","6375","Other Receipt",
"Commonwealth Bank of Australia","L5, Darling Park 1, 201 Sussex Street","SYDNEY","NSW","2000","2500","Other Receipt",
"Commonwealth Bank of Australia","L5, Darling Park 1, 201 Sussex Street","SYDNEY","NSW","2000","2500","Other Receipt",
"Complementary Medicines Australia","PO Box 450 ,","Mawson","ACT","2607","2619","Other Receipt",
"Complementary Medicines Australia","PO Box 450 ,","Mawson","ACT","2607","1100","Other Receipt",
"Conexus Financial","GPO Box 539","SYDNEY","NSW","2001","11000","Subscription",
"Copyright Agency Limited","Level 15 , 233 Castlereagh Street","SYDNEY","NSW","2000","3430","Other Receipt",
"Copyright Agency Limited","Level 15 , 233 Castlereagh Street","SYDNEY","NSW","2000","1970","Other Receipt",
"CPSU National Secretariat","Level 5 191 Thomas St ,","HAYMARKET","NSW","2000","1650","Donation",
"CRC Association","4/11 National Circuit ,","BARTON","ACT","2600","27466","Other Receipt",
"CropLife Australia","Locked Bag 916 ,","CANBERRA","ACT","2601","16500","Subscription",
"Crown Castle Australia","PO Box 202","CHATWSOOD","NSW","2067","7700","Subscription",
"Crown Castle Australia","Level 1, 754 Pacific Highway ,","Chatswood","NSW","2067","1100","Other Receipt",
"CSL","C/- The Strategic Counsel , 414 Killawarra Road","DUFFYS FOREST","NSW","2084","1100","Other Receipt",
"CSL Behring","C/- The Strategic Counsel , 414 Killawarra Road","DUFFYS FOREST","NSW","2084","1100","Other Receipt",
"Customer Owned Banking Association","GPO Box 4686 ,","Sydeny","NSW","2001","10000","Other Receipt",
"Customer Owned Banking Association","GPO Box 4686 ,","Sydeny","NSW","2001","1100","Other Receipt",
"DCNS Australia Pty Ltd","PO Box 215 ,","Deakin West","ACT","2600","1500","Other Receipt",
"Deloitte Touche Tohmatsu","225 George Street","SYDNEY","NSW","2000","40000","Other Receipt",
"Deloitte Touche Tohmatsu","225 George Street","SYDNEY","NSW","2000","1650","Other Receipt",
"Department of Finance","Parliamentary & Ministerial Services Branch , 40 Blackall Street","BARTON","ACT","2600","1100000","Other Receipt",
"Department of Finance","Parliamentary & Ministerial Services Branch , 40 Blackall Street","BARTON","ACT","2600","246279","Other Receipt",
"Department of Finance","Parliamentary & Ministerial Services Branch , 40 Blackall Street","BARTON","ACT","2600","112200","Other Receipt",
"Department of Finance","Parliamentary & Ministerial Services Branch , 40 Blackall Street","BARTON","ACT","2600","51973","Other Receipt",
"Distilled Spirits Industry Council of Australia Inc.","Po Box 1098 ,","Melbourne","VIC","3205","1100","Other Receipt",
"Dr James E Chalmers MP","Federal Member for Rankin , PO Box 349","WOODRIDGE","QLD","4114","1650","Other Receipt",
"Dr James E Chalmers MP","Federal Member for Rankin , PO Box 349","WOODRIDGE","QLD","4114","1002","Other Receipt",
"E E & J J Veevers","","","","","5000","Donation",
"EDX Pty Ltd","Level 5, 100 Collins Street","MELBOURNE","VIC","3000","1100","Other Receipt",
"Elbit Systems of Australia Pty Ltd","PO Box 204","PINKENBA","QLD","4008","1100","Other Receipt",
"Electro Optic Systems Pty Ltd","EOS House, Mount Stomlo Observatory","WESTON CREEK","ACT","2611","1100","Other Receipt",
"ELGAS Limited","PO Box 1336","CHATSWOOD","NSW","2067","3300","Other Receipt",
"ELGAS Limited","PO Box 1336","CHATSWOOD","NSW","2067","1500","Other Receipt",
"Eli Lilly Australia","112 Wharf Road ,","WEST RYDE","NSW","2114","3300","Other Receipt",
"Energy Developments","PO Box 4046 ,","Eight Mile Plains","QLD","4113","1500","Other Receipt",
"Energy Supply Association of Australia","GPO Box 1823 ,","MELBOURNE","VIC","3001","8500","Other Receipt",
"ERM Power","PO Box 7152","BRISBANE","QLD","4001","2673","Other Receipt",
"ERM Power","PO Box 7152","BRISBANE","QLD","4001","1500","Other Receipt",
"Ernst & Diane Forger","","","","","1100","Donation",
"Ernst & Young","L45, 680 George Street ,","SYDNEY","NSW","2000","6375","Other Receipt",
"Financial Services Council","Level 25 , 45 Market St","SYDNEY","NSW","2000","16500","Subscription",
"Financial Services Council","Level 25 , 45 Market St","Sydney","NSW","2000","2591","Other Receipt",
"Financial Services Council","Level 25 , 45 Market St","SYDNEY","NSW","2000","2500","Other Receipt",
"Financial Services Council","Level 25 , 45 Market St","SYDNEY","NSW","2000","2500","Other Receipt",
"Foxtel","5 Thomas Holt Drive ,","North Ryde","NSW","2113","10000","Other Receipt",
"FOXTEL","5 Thomas Holt Drive ,","North Ryde","NSW","2113","8500","Other Receipt",
"Foxtel","5 Thomas Holt Drive ,","North Ryde","NSW","2113","2617","Other Receipt",
"FreeTV Australia","44 Avenue Road ,","Mosman","NSW","2088","10000","Other Receipt",
"G4S","Level 4, 616 St Kilda Road ,","Melbourne","VIC","3004","1100","Other Receipt",
"Genworth","Level 26, 101 Miller Street","NORTH SYDNEY","NSW","2060","27500","Other Receipt",
"Genworth","Level 26, 101 Miller Street","NORTH SYDNEY","NSW","2060","22000","Other Receipt",
"Gerry Pennisi","","","","","6600","Other Receipt",
"Gilbert & Tobin","2 Park Street","SYDNEY","NSW","2000","2000","Other Receipt",
"Glencore","LEVEL 38, GATEWAY BUILDING , 1 MACQUARIE PLACE","SYDNEY","NSW","2000","10000","Other Receipt",
"GRACosway","Level11, 39 Martin Place ,","SYDNEY","NSW","2000","3300","Other Receipt",
"Group Training Australia Ltd","PO Box 7051","SYDNEY","NSW","2001","1100","Other Receipt",
"HAILEYBURY","855 Springvale Road ,","KEYSBOROUGH","VIC","3173","3300","Other Receipt",
"Hancock Coal  Pty Ltd","GPO Box 963","BRISBANE","QLD","4001","22000","Other Receipt",
"Hardwired Corporate","8/44 Parliament Place , West Perth","W Perth","WA","6005","7500","Other Receipt",
"Hawker Britton","Level 2, 9 Sydney Ave","BARTON","ACT","2600","2000","Other Receipt",
"Hawkesbury Advisory","52 Feez Street","YERONGA","QLD","4104","2200","Other Receipt",
"Holding Redlich","GPO Box 2154 ,","MELBOURNE","VIC","3001","11000","Subscription",
"Housing Industry Association","79 Constitution Ave ,","CAMPBELL","ACT","2612","1100","Other Receipt",
"Ikon","Level 4, 1 Kent Street","MILLERS POINT","NSW","2000","71408","Other Receipt",
"Ikon","Level 4, 1 Kent Street","MILLERS POINT","NSW","2000","67966","Other Receipt",
"Incitec Pivot Limited","Level 8 , 28 Freshwater Place","Melbourne","VIC","3006","10000","Other Receipt",
"Incitec Pivot Limited","Level 8 , 28 Freshwater Place","SOUTHBANK","VIC","3006","8500","Other Receipt",
"Infigen Energy","Level 23  HWT Tower,  40 City Road","SOUTHBANK","VIC","3006","7000","Subscription",
"Infrastructure Partnerships Australia","Suite 303, Level 3, 95 Pitt Street","SYDNEY","NSW","2000","5500","Subscription",
"INPEX","Level 22 , 100 St Georges Terrace","Perth","WA","6000","10000","Other Receipt",
"INPEX","Level 22 , 100 St Georges Terrace","PERTH","WA","6000","3300","Other Receipt",
"Insurance Australia Group Ltd (IAG)","388 George Street","SYDNEY","NSW","2000","13200","Subscription",
"Insurance Australia Group Ltd (IAG)","388 George Street","SYDNEY","NSW","2000","1100","Other Receipt",
"Insurance Council of Australia","Level 4, 56 Pitt Street","SYDNEY","NSW","2000","27500","Subscription",
"iSentia Pty Ltd","131 Canberra Avenue","GRIFFITH","ACT","2603","3300","Other Receipt",
"Jefferson Investments Pty Limited","The Villa 2-4 Riley Street ,","WOOLLOOMOOLOO","NSW","2011","8000","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","6600","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","3300","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","3300","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","1500","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","1500","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","1100","Other Receipt",
"John Connolly & Partners","GPO Box 5005","SYDNEY","NSW","2001","1100","Other Receipt",
"John Curtin House Ltd","PO Box 6222 ,","KINGSTON","ACT","2604","250000","Other Receipt",
"John Curtin House Ltd","PO Box 6222 ,","KINGSTON","ACT","2604","100000","Other Receipt",
"John Curtin House Ltd","PO Box 6222 ,","KINGSTON","ACT","2604","10000","Other Receipt",
"John Curtin House Ltd","PO Box 6222 ,","KINGSTON","ACT","2604","1261","Other Receipt",
"Johnson & Johnson Medical Pty. Ltd.","1-5 Khartoum Road North Ryde ,","North Ryde","NSW","2113","1500","Other Receipt",
"Johnson and Johnson Medical","Ogillvy House, Level 2 , 72 Christie St.","ST LEONARDS","NSW","2065","2638","Other Receipt",
"Knowminister.com","PO Box 80 ,","Yarraville","VIC","3013","10000","Other Receipt",
"KPMG","10 Shelly Street","SYDNEY","NSW","2000","27500","Subscription",
"Life Without Barriers","Ogillvy House, Level 2 , 72 Christie St.","ST LEONARDS","NSW","2065","2636","Other Receipt",
"Linfox Australia Pty Ltd","55 English street","Essendon Fields","VIC","3041","2000","Other Receipt",
"Lion Nathan Limited","Level 7, 68 York Street","SYDNEY","NSW","2000","45000","Subscription",
"Liquor Hospitality Division United Voice","PO Box 967 ,","PARRAMATTA","NSW","2124","4950","Donation",
"Macquarie Group Limited","Level 6 , 50 Martin Place","Sydney","NSW","2000","1500","Other Receipt",
"Macquarie Group Limited","Level 6 , 50 Martin Place","Sydney","NSW","2000","1500","Other Receipt",
"Macquarie Group Limited","Level 25, 101 Collins Street","MELBOURNE","VIC","3000","1133","Other Receipt",
"Macquarie Group Limited","Level 6 , 50 Martin Place","Sydney","NSW","2000","1100","Other Receipt",
"Macquarie Group Limited","Level 6, 50 Martin Place ,","Sydney","NSW","2000","1100","Other Receipt",
"Macquarie Group Services Australia Pty Ltd","Level 7 , 40 Marcus Clarke Street","CANBERRA","ACT","2600","22000","Other Receipt",
"Macquarie Group Services Australia Pty Ltd","Level 7 , 40 Marcus Clarke Street","CANBERRA","ACT","2600","22000","Subscription",
"Macquarie Group Services Australia Pty Ltd","Level 7 , 40 Marcus Clarke Street","CANBERRA","ACT","2600","11000","Subscription",
"Macquarie Group Services Australia Pty Ltd","Level 7 , 40 Marcus Clarke Street","CANBERRA","ACT","2600","8500","Other Receipt",
"Macquarie Group Services Australia Pty Ltd","Level 7 , 40 Marcus Clarke Street","CANBERRA","ACT","2600","2500","Other Receipt",
"Macquarie Group Services Australia Pty Ltd","Level 7 , 40 Marcus Clarke Street","CANBERRA","ACT","2600","2000","Other Receipt",
"Macquarie Telecom","Level 20, 2 Market Street","SYDNEY","NSW","2000","38500","Subscription",
"Macquarie Telecom","Level 20, 2 Market Street","SYDNEY","NSW","2000","11000","Subscription",
"Macquarie Telecom","Level 20, 2 Market Street","SYDNEY","NSW","2000","11000","Other Receipt",
"Magenta Linas Software","Level 11, 488 Bourke Street ,","MELBOURNE","VIC","3000","1018","Other Receipt",
"MagNet - Magnetite Network","Suite 8/44 Parliament Place","WEST PERTH","WA","6005","5000","Other Receipt",
"Manufacturing Australia","Suite 1, Level 9/92-94 Elizabeth Street ,","MELBOURNE","VIC","3000","8500","Other Receipt",
"Master Builders Australia","PO Box 7170 ,","YARRALUMLA","ACT","2600","11000","Subscription",
"Maurice Blackburn Pty Ltd","PO Box 523 ,","MELBOURNE","VIC","3000","27500","Subscription",
"Medicines Australia","Level 1, 16 Napier Close","DEAKIN","ACT","2600","27500","Subscription",
"Medicines Australia","Level 1, 16 Napier Close","DEAKIN","ACT","2600","8000","Other Receipt",
"Medicines Australia","Level 1, 16 Napier Close","DEAKIN","ACT","2600","7500","Other Receipt",
"Medicines Australia","Level 1, 16 Napier Close","DEAKIN","ACT","2600","6375","Other Receipt",
"Medicines Australia","Level 1, 16 Napier Close","DEAKIN","ACT","2600","1100","Other Receipt",
"Medtronic Australasia Pty Ltd","97 Waterloo Road ,","NORTH RYDE","NSW","2113","11000","Other Receipt",
"Medtronic Australasia Pty Ltd","97 Waterloo Road ,","NORTH RYDE","NSW","2113","11000","Subscription",
"Medtronic Australasia Pty Ltd","97 Waterloo Road ,","North Ryde","NSW","2113","1100","Other Receipt",
"Minerals Council of Australia","PO Box 4497 ,","KINGSTON","ACT","2604","10000","Other Receipt",
"Mr Andrew J Giles MP","Federal Member for Scullin , Shop 23-25, 314-360 Childs Road","MILL PARK","VIC","3082","1650","Other Receipt",
"Mr Andrew J Giles MP","Federal Member for Scullin , Shop 23-25, 314-360 Childs Road","MILL PARK","VIC","3082","1002","Other Receipt",
"Mr Chris Hayes MP","Federal Member for Fowler , PO Box 205","CABRAMATTA","NSW","2166","1974","Other Receipt",
"Mr Chris Hayes MP","Federal Member for Fowler , PO Box 205","CABRAMATTA","NSW","2166","1650","Other Receipt",
"Mr Graham Perrett MP","Federal Member for Moreton , PO Box 419, Sunnybank Plaza","SUNNYBANK","QLD","4109","1650","Other Receipt",
"Mr Graham Perrett MP","Federal Member for Moreton , PO Box 419, Sunnybank Plaza","SUNNYBANK","QLD","4109","1002","Other Receipt",
"Mr John Kirby","","","","","16995","Other Receipt",
"Mr John Kirby","","","","","2000","Other Receipt",
"Mr John Kirby","","","","","1100","Other Receipt",
"Mr John Kirby","","","","","1100","Other Receipt",
"Mr Laurie Ferguson MP","Federal Member for Werriwa , PO Box 191","INGLEBURN","NSW","1890","1650","Other Receipt",
"Mr Laurie Ferguson MP","Federal Member for Werriwa , PO Box 191","INGLEBURN","NSW","1890","1002","Other Receipt",
"Mr M Sinnathamby","c/- Springfield Land Corporation , PO Box 4167","SPRINGFIELD","QLD","4300","2200","Other Receipt",
"Mr Nick Champion MP","Federal Member for Wakefield , PO Box 288","SMITHFIELD","SA","5114","1650","Other Receipt",
"Mr Nick Champion MP","Federal Member for Wakefield , PO Box 288","SMITHFIELD","SA","5114","1002","Other Receipt",
"Mr Patrick Conroy MP","Federal Member for Charlton , PO Box 747","CARDIFF","NSW","2285","1650","Other Receipt",
"Mr Patrick Conroy MP","Federal Member for Charlton , PO Box 747","CARDIFF","NSW","2285","1002","Other Receipt",
"Mr Rob Mitchell MP","Federal Member for McEwen , Shop EOO-48 Craigieburn Central Shopping CTR","CRAIGIEBURN","VIC","3064","1650","Other Receipt",
"Mr Rob Mitchell MP","Federal Member for McEwen , Shop EOO-48 Craigieburn Central Shopping CTR","CRAIGIEBURN","VIC","3064","1002","Other Receipt",
"Mr Stephen Jones MP","Federal Member for Throsby , PO Box 864","DAPTO","NSW","2530","1650","Other Receipt",
"Mr Stephen Jones MP","Federal Member for Throsby , PO Box 864","DAPTO","NSW","2530","1002","Other Receipt",
"Mr Timothy G Watts MP","Federal Member for Gellibrand , 97 Geelong Road","FOOTSCRAY","VIC","3011","1500","Other Receipt",
"Mr Tony Zappia MP","Federal Member for Makin , PO Box 775","MODBURY","SA","5092","1650","Other Receipt",
"Mr Tony Zappia MP","Federal Member for Makin , PO Box 775","MODBURY","SA","5092","1650","Other Receipt",
"Mr Tony Zappia MP","Federal Member for Makin , PO Box 775","MODBURY","SA","5092","1002","Other Receipt",
"Ms Anna Burke MP","Federal Member for Chisholm , PO Box 3042","SYNDAL","VIC","3149","1650","Other Receipt",
"Ms Anna Burke MP","Federal Member for Chisholm , PO Box 3042","SYNDAL","VIC","3149","1002","Other Receipt",
"Ms Clare O'Neil","40 Berkeley St ,","Hawthorn","VIC","3122","1002","Other Receipt",
"Ms Gai Brodtmann MP","Federal Member for Canberra , 205 Anketell Street","TUGGERANONG","ACT","2900","1650","Other Receipt",
"Ms Gai Brodtmann MP","Federal Member for Canberra , 205 Anketell Street","TUGGERANONG","ACT","2900","1002","Other Receipt",
"Ms Jill Hall MP","Federal Member for Shortland , PO Box 499","BELMONT","NSW","2280","1650","Other Receipt",
"Ms Joanne Ryan MP","Federal Member for Lalor , 2/36 Synnot Street","WERRIBEE","VIC","3030","1650","Other Receipt",
"Ms Joanne Ryan MP","Federal Member for Lalor , 2/36 Synnot Street","WERRIBEE","VIC","3030","1002","Other Receipt",
"Ms Julie Owens MP","Federal Member for Parramatta , Suite 1, 25 Smith Street","PARRAMATTA","NSW","2150","3300","Other Receipt",
"Ms Julie Owens MP","Federal Member for Parramatta , Suite 1, 25 Smith Street","PARRAMATTA","NSW","2150","1650","Other Receipt",
"Ms Julie Owens MP","Federal Member for Parramatta , Suite 1, 25 Smith Street","PARRAMATTA","NSW","2150","1002","Other Receipt",
"Ms Lisa Chesters MP","Federal Member for Bendigo , PO Box 338","BENDIGO","VIC","3550","1650","Other Receipt",
